row,reason
4002,'int' object has no attribute 'strip'
4004,'int' object has no attribute 'strip'
4005,'int' object has no attribute 'strip'
4006,'int' object has no attribute 'strip'
4007,'int' object has no attribute 'strip'
4008,'int' object has no attribute 'strip'
4009,'int' object has no attribute 'strip'
4010,'int' object has no attribute 'strip'
4011,'int' object has no attribute 'strip'
4012,'int' object has no attribute 'strip'
4013,'int' object has no attribute 'strip'
4014,'int' object has no attribute 'strip'
4015,'int' object has no attribute 'strip'
4016,'int' object has no attribute 'strip'
4017,'int' object has no attribute 'strip'
4019,'int' object has no attribute 'strip'
4020,'int' object has no attribute 'strip'
4021,'int' object has no attribute 'strip'
4022,'int' object has no attribute 'strip'
4023,'int' object has no attribute 'strip'
4024,'int' object has no attribute 'strip'
4025,'int' object has no attribute 'strip'
4026,'int' object has no attribute 'strip'
4027,'int' object has no attribute 'strip'
4028,'int' object has no attribute 'strip'
4029,'int' object has no attribute 'strip'
4031,'int' object has no attribute 'strip'
4032,'int' object has no attribute 'strip'
4033,'int' object has no attribute 'strip'
4034,'int' object has no attribute 'strip'
4035,'int' object has no attribute 'strip'
4036,'int' object has no attribute 'strip'
4037,'int' object has no attribute 'strip'
4038,'int' object has no attribute 'strip'
4039,'int' object has no attribute 'strip'
4040,'int' object has no attribute 'strip'
4041,'int' object has no attribute 'strip'
4042,'int' object has no attribute 'strip'
4043,'int' object has no attribute 'strip'
4044,'int' object has no attribute 'strip'
4045,'int' object has no attribute 'strip'
4046,'int' object has no attribute 'strip'
4047,'int' object has no attribute 'strip'
4048,'int' object has no attribute 'strip'
4049,'int' object has no attribute 'strip'
4050,'int' object has no attribute 'strip'
4051,'int' object has no attribute 'strip'
4052,'int' object has no attribute 'strip'
4053,'int' object has no attribute 'strip'
4054,'int' object has no attribute 'strip'
4055,'int' object has no attribute 'strip'
4057,'int' object has no attribute 'strip'
4058,'int' object has no attribute 'strip'
4059,'int' object has no attribute 'strip'
4060,'int' object has no attribute 'strip'
4061,'int' object has no attribute 'strip'
4062,'int' object has no attribute 'strip'
4063,'int' object has no attribute 'strip'
4064,'int' object has no attribute 'strip'
4065,'int' object has no attribute 'strip'
4067,'int' object has no attribute 'strip'
4068,'int' object has no attribute 'strip'
4069,'int' object has no attribute 'strip'
4070,'int' object has no attribute 'strip'
4071,'int' object has no attribute 'strip'
4072,'int' object has no attribute 'strip'
4073,'int' object has no attribute 'strip'
4074,'int' object has no attribute 'strip'
4076,'int' object has no attribute 'strip'
4077,'int' object has no attribute 'strip'
4078,'int' object has no attribute 'strip'
4079,'int' object has no attribute 'strip'
4080,'int' object has no attribute 'strip'
4081,'int' object has no attribute 'strip'
4082,'int' object has no attribute 'strip'
4083,'int' object has no attribute 'strip'
