row,reason
2,missing base/program/year
3,missing base/program/year
4,missing base/program/year
5,missing base/program/year
6,missing base/program/year
7,missing base/program/year
8,missing base/program/year
9,missing base/program/year
10,missing base/program/year
11,missing base/program/year
12,missing base/program/year
13,missing base/program/year
14,missing base/program/year
15,missing base/program/year
16,missing base/program/year
17,missing base/program/year
18,missing base/program/year
19,missing base/program/year
20,missing base/program/year
21,missing base/program/year
22,missing base/program/year
23,missing base/program/year
24,missing base/program/year
25,missing base/program/year
26,missing base/program/year
27,missing base/program/year
28,missing base/program/year
29,missing base/program/year
30,missing base/program/year
31,missing base/program/year
32,missing base/program/year
33,missing base/program/year
34,missing base/program/year
35,missing base/program/year
36,missing base/program/year
37,missing base/program/year
38,missing base/program/year
39,missing base/program/year
40,missing base/program/year
41,missing base/program/year
42,missing base/program/year
43,missing base/program/year
44,missing base/program/year
45,missing base/program/year
46,missing base/program/year
47,missing base/program/year
48,missing base/program/year
49,missing base/program/year
50,missing base/program/year
51,missing base/program/year
52,missing base/program/year
53,missing base/program/year
54,missing base/program/year
55,missing base/program/year
56,missing base/program/year
57,missing base/program/year
58,missing base/program/year
59,missing base/program/year
60,missing base/program/year
61,missing base/program/year
62,missing base/program/year
63,missing base/program/year
64,missing base/program/year
65,missing base/program/year
66,missing base/program/year
67,missing base/program/year
68,missing base/program/year
69,missing base/program/year
70,missing base/program/year
71,missing base/program/year
72,missing base/program/year
73,missing base/program/year
74,missing base/program/year
75,missing base/program/year
76,missing base/program/year
77,missing base/program/year
78,missing base/program/year
79,missing base/program/year
80,missing base/program/year
81,missing base/program/year
82,missing base/program/year
83,missing base/program/year
84,missing base/program/year
85,missing base/program/year
86,missing base/program/year
87,missing base/program/year
88,missing base/program/year
89,missing base/program/year
90,missing base/program/year
91,missing base/program/year
92,missing base/program/year
93,missing base/program/year
94,missing base/program/year
95,missing base/program/year
96,missing base/program/year
97,missing base/program/year
98,missing base/program/year
99,missing base/program/year
100,missing base/program/year
